City,Population,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area,Fields/ Diamonds,Tennis_dedicdated,Pickleball_dedicated,Pickleball_combined,Hoops,Community_garden_sites,Dog_parks,Playgrounds,Rec_senior_centers,Restrooms,Skateparks,Splashpads,Swimming_pools,Disc_golf_courses,investment_dollars
"Albuquerque, NM",553345.0,38.905203805943856,5.692651058562019,0.1893220532754087,3.5601659001165635,3.3975187270147917,1.0120268548554698,2.891505299587057,5.06013427427735,0.0,3.975819786932203,3.3071591864026963,1.1204583035899844,1.3011773848141754,0.0,0.9035954061209552,0.0,0.0,220.43430740315716
"Anaheim, CA",345538.0,13.344407850945482,1.8811245072900808,0.14330556936847338,2.6046339331708817,1.5048996058320647,1.4470188517616007,1.4470188517616007,1.5048996058320647,0.011576150814092806,1.1576150814092805,1.736422622113921,0.2894037703523202,1.736422622113921,2.604633933170881,0.5788075407046402,0.0,0.0,76.15100926670873
"Anchorage, AK",288464.0,3022.1961839258975,7.765267069721005,0.8015589946525637,3.1546397470741585,2.3573132175938762,0.6933274169393754,0.6933274169393754,1.97598313827722,0.017333185423484384,2.7733096677575015,3.1199733762271897,0.20799822508181262,1.5599866881135949,1.7333185423484385,0.0,1.7333185423484385,0.6933274169393754,68.9274486521715
"Arlington, TX",397158.0,10.869729427582978,2.5178896056481297,0.07097527291858477,2.3668162293092423,1.2085870107111023,0.5539357132425886,1.4100181791629527,7.830636673565684,0.00251788960564813,0.755366881694439,4.230054537488859,0.6546512974685138,1.93877499634906,1.007155842259252,2.014311684518504,1.510733763388878,0.503577921129626,112.9135647545813
"Arlington, VA",245695.0,7.2634770752355555,6.023728606605752,0.11211207438120366,4.436394717027208,7.326156413439428,0.0,1.628034758542095,17.094364964691998,0.04070086896355237,4.070086896355237,5.453916441116018,1.221026068906571,2.4013512688495897,0.4070086896355237,2.849060827448666,2.0350434481776185,0.4070086896355237,260.6477030871609
"Atlanta, GA",518472.0,10.5072212192751,7.290654075822802,0.06366813145715487,3.24029070036569,6.557731179311515,0.6171982286410838,1.8901695752133192,3.8960638182968417,0.04243237821907451,1.9287444645033869,3.394590257525961,1.4272709037325062,1.4851332376676079,0.5786233393510161,1.9287444645033869,6.364856732861177,0.3857488929006774,269.59780223618634
"Aurora, CO",391470.0,22.18305361841265,2.9631900273328737,0.08249577261413941,1.851993767083046,1.941400362735331,0.5875290571435869,0.9196106981377883,1.9158556211203923,0.022990267453444707,0.7663422484481569,2.171303037269778,0.25544741614938565,0.766342248448157,0.7663422484481569,1.0217896645975426,2.8099215776432422,0.5108948322987713,155.2959711518124
"Austin, TX",973671.0,19.748118204198338,3.5432913170875997,0.11171699154634981,1.7356992248921863,1.7665104537364265,0.3081122884423999,0.8421735884092266,2.4340870786949593,0.030811228844239993,1.3351532499170664,2.1465156094820528,0.5135204807373333,1.1810971056958663,0.3081122884423999,1.129745057622133,3.3892351728663996,0.7189286730322665,212.3474501919026
"Bakersfield, CA",411973.0,13.020270745898396,1.7476873484427378,0.05601035836605129,2.33024979792365,1.5049529944923576,1.3107655113320533,3.155546601354943,2.3545232333186883,0.0024273435395038025,2.1846091855534224,3.179820036749981,0.3883749663206084,2.014695137788156,0.970937415801521,4.6119527250572245,1.941874831603042,1.2136717697519013,116.05471987338976
"Baltimore, MD",573724.0,8.544875236176278,5.751894639234195,0.09552797209610475,3.5208567185615385,2.649357530798781,0.20915980506306167,0.4880395451471439,3.9043163611771514,0.020915980506306168,0.8714991877627569,2.0741680668753615,1.7429983755255138,0.627479415189185,0.6971993502102056,1.0457990253153084,3.4859967510510277,0.6971993502102056,112.38836729716728
"Baton Rouge, LA",227382.0,6.399363186180084,7.696299619143116,0.026436656310750168,3.210456412556842,6.244997405247557,1.847111908594348,1.847111908594348,9.631369237670528,0.01759154198661284,1.3193656489959626,3.078519847657246,3.166477557590311,4.529822061552806,0.8795770993306419,1.7591541986612838,1.3193656489959626,0.8795770993306419,200.85040731984066
"Boise, ID",236389.0,18.28130750584841,6.176260316681402,0.08303231756523076,4.9917720367699,5.668622482433615,2.030551336991146,3.0458270054867187,9.222087322168122,0.016921261141592883,7.614567513716797,4.864862578207954,0.592244139955751,4.145708979690257,2.1151576426991103,2.9612206997787545,2.9612206997787545,0.8460630570796441,236.0349839434153
"Boston, MA",684994.0,7.529949167437962,5.094935138117998,0.17650982136746285,2.058412190471741,2.8321415954008358,0.0,0.6131440567362634,4.189817721031133,0.017518401621036097,1.7518401621036097,2.861338931435896,1.1386961053673463,0.46715737656096257,0.729933400876504,12.554854495075869,4.379600405259024,0.0,154.85961086520467
"Buffalo, NY",281655.0,8.464255915925511,7.597947843993538,0.09421435346190325,3.6214517761090694,3.4084252010438303,0.0,0.0,5.8582308142940835,0.0,1.0651328753261968,2.733841046670572,1.9882480339422344,2.059256892297314,0.355044291775399,3.9054872095293893,3.1953986259785907,0.0,109.12317533649323
"Chandler, AZ",279357.0,5.434945249268856,2.46995779593853,0.03658353814274011,2.147789387772635,1.789824489810529,1.0023017142938964,1.0023017142938964,3.2216840816589523,0.0071592979592421165,1.4318595918484234,3.4722595102324267,0.5011508571469482,1.0023017142938964,0.35796489796210584,1.0738946938863174,2.147789387772635,0.7159297959242117,50.558903321556286
"Charlotte/Mecklenburg, NC",1170986.0,19.43208543910858,0.0,0.0685841134734672,2.211811242832963,2.4253065365427084,0.9222996688261004,1.2980513857552525,3.398845075859148,0.035013228168398254,1.2809717622584726,1.6567234791876246,0.5807071988905077,1.1443347742842358,0.25619435245169453,0.93937929232288,0.93937929232288,1.4517679972262691,98.92193349894875
"Chesapeake, VA",256498.0,229.8893168757651,3.4308259713526033,0.2729787972779038,8.109225023197062,4.054612511598531,0.0,1.4814930330840785,12.08586421726485,0.007797331753074099,1.9493329382685245,6.1209054261631675,1.0916264454303737,1.520479691849449,0.3898665876537049,0.3898665876537049,0.0,0.7797331753074098,174.31890762812964
"Chicago, IL",2730799.0,5.0610096165993905,2.3619460824469325,0.10150488039542586,3.658269978859667,3.6692557745919787,0.25633523375393064,0.25633523375393064,4.474880794961475,0.03295738719693393,1.0985795732311312,3.5923552044657994,1.8456136830283005,1.2413949177511783,0.21971591464622625,8.898494543172163,2.8929262095086457,0.07323863821540876,202.4416220300359
"Chula Vista, CA",277559.0,8.942242910516324,2.4499295645250196,0.07813139421412157,2.558014692371712,1.5131917898536886,0.5764540151823576,0.5764540151823576,2.1256741809849435,0.003602837594889735,2.882270075911788,3.6028375948897353,0.720567518977947,1.621276917700381,2.882270075911788,0.720567518977947,0.720567518977947,0.3602837594889735,38.317717061958
"Cincinnati, OH",308576.0,25.274162604998445,9.138753499948148,0.16020624062776032,3.8564243492688997,5.898060769470082,1.7499740744581562,1.7499740744581562,9.17116042725293,0.029166234574302605,1.94441563828684,10.305402882920253,1.4907186560199106,3.3055065850876284,0.3240692730478067,5.185108368764907,7.453593280099553,0.97220781914342,197.28665887884995
"Cleveland, OH",369937.0,8.84745240405799,4.568345420977085,0.06979570947242718,3.8925546782289957,3.9736495673587666,0.0,0.0,7.028223724580131,0.1108296818106867,0.5406325941984716,3.108637416641212,1.1893917072366376,0.7568856318778602,0.2703162970992358,12.434549666564848,10.542335586870196,0.0,169.76374315086085
"Colorado Springs, CO",482560.0,31.65409482758621,5.139257294429708,0.12153109286487175,2.4660145888594167,2.486737400530504,1.284814323607427,2.2795092838196287,2.9633620689655173,0.018650530503978777,1.6578249336870026,2.839025198938992,0.4559018567639257,1.51276525198939,2.2795092838196287,1.243368700265252,1.0361405835543767,0.8289124668435013,108.90464660974801
"Columbus, OH",872090.0,17.931245628318177,4.7586831634349664,0.11392231142453339,3.164810971344701,2.247474457911454,0.06880023850749349,1.3530713573140385,6.868557144331434,0.016053388985081816,0.8026694492540908,2.866676604478896,0.6650689722391038,1.066403696866149,0.34400119253746747,0.8026694492540908,1.0320035776124026,0.34400119253746747,199.69805233634145
"Corpus Christi, TX",319188.0,22.17188616113388,6.077922728924646,0.06916333571142363,2.2870533979974184,2.506359888216349,0.8145669636703134,0.8145669636703134,2.7883253756406887,0.01566474930135218,0.6265899720540873,4.511447798789429,0.7519079664649047,1.3158389413135831,0.9398849580811308,1.566474930135218,1.8797699161622616,1.2531799441081746,93.23236375678283
"Dallas, TX",1307764.0,16.231521895387854,3.1504155183962856,0.09864856072646833,2.202232207034297,3.915079479172083,0.902303473715441,1.3305152917498877,4.878556069749588,0.0007646639607757974,0.6881975646982177,2.0110662168403475,0.6423177270516699,1.2387556164567919,0.07646639607757974,1.2999287333188556,1.4528615254740151,0.30586558431031896,149.16724170997216
"Denver, CO",737871.0,9.608725644455467,4.363906428088379,0.09496129222362112,4.2419338881728645,3.903121277296438,1.084200354804566,1.084200354804566,4.838244083315376,0.013552504435057075,1.8973506209079904,3.7404912240757526,0.8131502661034246,1.2874879213304222,1.084200354804566,3.2526010644136987,4.472326463568836,0.2710500887011415,214.00773871611705
"Detroit, MI",633883.0,8.048803959090241,4.795837717686071,0.058087506973460996,3.4391204686038273,2.713434498164488,0.31551563932145205,0.5048250229143233,2.9185196637234316,0.006310312786429042,1.2620625572858084,4.811613499652144,0.5679281507786137,0.5521523688125411,0.9465469179643562,1.8930938359287124,1.104304737625082,0.15775781966072605,89.47188902052902
"Durham, NC",297524.0,9.263118269450532,0.0,0.036772162032342424,0.9747112837955929,5.108831556445867,1.3444293569594385,1.3444293569594385,4.201341740498245,0.0033610733923985963,1.3444293569594385,3.6635699977144704,0.6722146784797193,2.823301649614821,0.33610733923985964,1.3444293569594385,1.680536696199298,1.3444293569594385,61.02733870208791
"El Paso, TX",677078.0,43.52814594478037,3.721875470772939,0.18136249792311526,3.470796569966828,0.7089286610996074,0.11815477684993457,0.827083437949542,3.736644817879181,0.004430804131872546,0.7384673553120911,2.628943784911044,0.8861608263745092,0.915699520586993,1.7723216527490184,1.4769347106241821,2.3630955369986912,0.0,60.51234441231291
"Fort Worth, TX",959408.0,13.306122108633657,3.10608208395177,0.05807109000427595,1.657271984390374,1.3341560629054583,0.5211547120724447,0.5211547120724447,2.1992728849457164,0.0,0.5211547120724447,2.1888497907042677,0.4586161466237513,0.1667695078631823,0.5211547120724447,0.10423094241448892,0.3126928272434668,0.4169237696579557,106.34487415218551
"Fremont, CA",234614.0,93.58951298728977,3.1541169751165747,0.4397902938289903,1.7049280946576078,3.3246097845823352,0.5967248331301627,0.8524640473288039,2.21640652305489,0.0042623202366440195,2.13116011832201,2.0032905112226893,0.6819712378630431,3.836088212979617,0.42623202366440194,0.42623202366440194,0.42623202366440194,0.0,111.89267152855327
"Fresno, CA",512719.0,4.838400761430725,3.2571447518036196,0.03419964983387788,1.93088221813508,1.287254812090053,0.0,0.2730540510494052,2.008897661292053,0.013652702552470261,2.9255791183864845,1.6773320278749178,0.858169874726702,1.189735508143837,2.1454246868167552,1.3652702552470262,2.1454246868167552,0.1950386078924323,103.31422707564961
"Garland, TX",250176.0,11.795695830135585,2.4382834484522893,0.08112268741237595,2.518227168073676,2.7980301867485293,0.0,0.0,2.038564850345357,0.003997185981069328,0.3997185981069327,1.6388462522384242,0.6395497569710924,0.7594653364031722,0.3997185981069327,1.1991557943207982,0.3997185981069327,0.3997185981069327,167.4547277292786
"Gilbert, AZ",278380.0,4.842301889503556,1.4728069545225952,0.03069566207446203,1.885911344205762,0.9339751418923774,1.1495078669444645,1.1495078669444645,1.400962712838566,0.0,0.7184424168402903,1.1495078669444645,0.2873769667361161,0.6106760543142467,0.35922120842014515,1.0776636252604355,1.4368848336805806,0.35922120842014515,100.3377453437747
"Glendale, AZ",256276.0,8.194290530521782,2.8875119012314845,0.04891912038762579,1.7949398304952473,2.731430176840594,0.7804086219544554,0.7804086219544554,3.745961385381386,0.0,1.170612932931683,2.8875119012314845,0.3902043109772277,0.7023677597590098,0.7804086219544554,1.5608172439089107,0.7804086219544554,1.170612932931683,76.19256052068863
"Greensboro, NC",276193.0,30.269014783140776,7.603378796710996,0.09874433053009543,1.882741416328437,3.9103090954513693,0.4344787883834854,0.7241313139724758,3.3310040442733886,0.018103282849311893,1.0861969709587136,3.6930697012596267,0.8689575767669708,1.556882325040823,0.7241313139724758,1.0861969709587136,1.8103282849311892,0.7241313139724758,96.08800600739339
"Henderson, NV",340256.0,16.305370074297,2.1454434308285526,0.08256566708832502,1.704598890247343,3.350418508417192,0.23511708830997838,0.23511708830997838,8.434825543120475,0.0029389636038747295,5.584030847361986,2.792015423680993,0.47023417661995676,2.4393397912160255,2.057274522712311,5.877927207749459,3.8206526850371483,0.0,161.03897324367534
"Honolulu, HI",1017394.0,65.3270021250371,3.951271582100936,0.17592936704571926,3.499136027930182,3.970929649673578,0.5307678244613198,3.7546909063745217,3.6858876698702763,0.01081193716495281,0.8846130407688664,1.4448679665891484,1.611961540956601,2.5260616830844294,1.4743550679481106,0.0,2.0640970951273547,0.09829033786320737,99.6540546061801
"Houston, TX",2275767.0,19.79950056398568,3.0890684327525624,0.12805595816636828,2.6716267526508646,1.8455316383443472,0.5536594915033042,1.0985307371097304,3.945922407698152,0.013182368845316766,1.230354425562898,2.5529854330430135,0.7118479176471053,1.001860032244074,0.4833535243282814,1.7576491793755689,1.8015904088599581,0.5272947538126707,134.44647186838546
"Irvine, CA",323475.0,34.03045057577865,10.54177293453899,0.2621514133981091,5.008115001159286,6.244686606383802,0.49462864208980606,1.1747430249632893,14.83885926269418,0.009274287039183862,0.6182858026122575,3.6478862354123196,1.483885926269418,5.193600741942963,0.30914290130612876,0.6182858026122575,2.47314321044903,0.30914290130612876,1067.0405515208286
"Irving, TX",259205.0,7.638741536621593,3.8965297737312166,0.0539568345323741,2.0832931463513433,0.9259080650450415,0.23147701626126038,0.23147701626126038,2.0447136436411335,0.0,1.1573850813063018,3.009201211396385,0.7715900542042013,0.46295403252252076,0.3857950271021006,0.7715900542042012,2.3147701626126036,0.7715900542042012,87.73860585482534
"Jacksonville, FL",987087.0,85.63016228559388,4.1941591774585225,0.18181791195672048,4.700700140919696,2.998722503690151,0.7902039029994317,1.3372681435374996,7.6285069097252824,0.008104655415378787,0.607849156153409,2.3908733475367416,1.3372681435374996,2.7150595641518933,0.5065409634611742,1.9248556611524619,3.545786744228219,0.4052327707689393,154.05232081670613
"Jersey City, NJ",309685.0,3.5213200510195843,2.357233963543601,0.11813454663633409,0.6458175242585208,1.743707315498006,0.0,0.0,2.421815715969453,0.0,1.9374525727755623,1.1301806674524113,0.839562781536077,0.6135266480455948,0.6458175242585208,3.5519963834218644,0.9687262863877811,0.0,140.8175411789399
"Kansas City, MO",522525.0,36.392517104444764,4.2294627051337255,0.09938693272984796,3.6553274962920437,3.5979139754078755,0.6506865700205732,0.6506865700205732,2.5070570786086788,0.015310272235778192,0.956892014736137,2.526194918903402,0.3827568058944548,2.5836084397875703,0.3827568058944548,2.6792976412611837,2.1051624324195015,0.956892014736137,247.98829098052727
"Laredo, TX",257795.0,9.492038247444675,4.073003743284393,0.03658627752941704,2.676545317015458,1.939525592040187,0.3103240947264299,0.3103240947264299,9.85279000756415,0.011637153552241122,3.103240947264299,3.1032409472642994,0.8533912604976823,1.2025058670649158,3.4911460656723365,3.879051184080374,3.4911460656723365,0.7758102368160747,87.65941628037781
"Las Vegas, NV",631154.0,23.72162736828096,1.8537472629500882,0.16491711185768573,1.1407675464308236,1.8695912566505164,0.8238876724222615,0.8238876724222615,16.335157505141378,0.011090795590299674,3.960998425107026,14.354658292587864,0.7288237102196927,1.6160873574436667,2.0597191810556534,5.386957858145555,2.6934789290727776,0.3168798740085621,47.51138251520231
"Lexington/Fayette, KY",327401.0,13.470881274033983,3.084902000910199,0.024363778988189283,3.8790351892633192,2.6878354067336385,0.9163075250228313,1.282830535031964,4.00120952593303,0.024434867333942168,2.1380508917199395,3.2987070900821927,0.6108716833485542,1.3439177033668193,1.2217433666971085,1.5271792083713855,1.5271792083713855,1.2217433666971085,111.62167189471016
"Lincoln, NE",286381.0,13.37260502617143,5.237777645863378,0.06267137971099873,2.8982369640444023,2.3046221641798863,0.6983703527817837,2.095111058345351,9.288325691997724,0.02444296234736243,1.7459258819544592,4.783836916555218,0.8380444233381404,2.269703646540797,0.6983703527817837,0.6983703527817837,3.1426665875180264,1.7459258819544592,133.09828083916182
"Long Beach, CA",460718.0,6.585373265207784,3.6030717271736723,0.09664574905233651,2.7348616724330284,2.995324688855222,0.7813890492665796,1.7364201094812879,2.9736194374867058,0.0217052513685161,2.3875776505367705,1.758125360849804,1.302315082110966,3.6464822299107045,2.17052513685161,0.21705251368516099,0.651157541055483,0.21705251368516099,130.32685701882713
